time,SP,PV,OP
1,447.21,443.84,39.38
2,449.44,444.28,39.66
3,447.27,440.78,39.9
4,442.87,435.97,40.04
5,442.86,440.56,39.53
6,442.84,442.53,39.3
7,447.23,448.22,39.14
8,442.84,451.94,38.07
9,445.02,456.31,37.66
10,442.82,450.84,37.94
11,437.82,443.63,38.13
12,438.3,439.91,38.6
13,440.45,438.38,39.06
14,438.21,439.69,38.62
15,440.36,439.47,38.91
16,438.11,444.06,38.03
17,440.26,449.75,37.49
18,440.22,442.97,38.25
19,440.18,444.28,38.03
20,435.73,442.97,37.57
21,435.65,447.13,36.93
22,437.78,442.97,37.6
23,437.72,438.81,38.06
24,437.66,438.59,38.07
25,439.81,437.28,38.51
26,439.77,440.34,38.14
27,441.94,438.16,38.69
28,441.92,440.13,38.48
29,436.92,438.16,38.11
30,437.39,439.03,38.04
31,437.33,434.22,38.64
32,437.27,435.97,38.45
33,437.21,442.97,37.55
34,441.57,433.78,39.23
35,439.34,434.88,38.9
36,437.09,436.84,38.41
37,432.62,437.28,37.78
38,434.73,430.06,38.93
39,434.65,429.19,39.09
40,438.99,431.59,39.42
41,434.54,431.81,38.9
42,430.04,443.41,36.85
43,432.13,441.88,37.14
44,432.04,441.22,37.09
45,431.94,434.66,37.81
46,429.63,439.47,36.85
47,427.31,432.25,37.36
48,431.59,434,37.62
49,433.7,438.38,37.3
50,431.41,437.72,37.02
51,429.11,433.34,37.21
52,428.99,439.47,36.34
53,431.08,444.72,35.8
54,430.98,437.5,36.55
55,433.09,437.72,36.71
56,430.8,432.47,37.03
57,430.71,427.66,37.62
58,430.61,421.31,38.48
59,430.51,425.91,37.99
60,430.41,423.94,38.29
61,430.32,430.28,37.54
62,432.43,433.56,37.38
63,432.35,427.88,38.1
64,430.06,425.47,38.17
65,432.17,421.53,39.02
66,432.09,424.81,38.72
67,434.22,444.94,36.47
68,434.16,434.66,37.67
69,434.11,422.63,39.22
70,434.05,420.88,39.59
71,431.78,427.22,38.64
72,433.91,431.38,38.43
73,436.06,427,39.32
74,433.81,423.72,39.57
75,435.96,418.91,40.61
76,433.71,423.94,39.88
77,435.86,431.59,39.29
78,433.62,436.19,38.46
79,433.56,438.38,38.13
80,437.91,438.16,38.66
81,437.89,435.75,38.97
82,442.29,432.25,40.03
83,437.29,432.03,39.53
84,437.86,437.94,38.91
85,437.84,435.09,39.27
86,433.4,436.19,38.59
87,433.34,436.84,38.46
88,435.49,437.94,38.55
89,435.45,446.25,37.43
90,435.41,424.59,40.11
91,437.58,426.78,40.25
92,435.36,428.09,39.93
93,440.36,433.34,39.99
94,439.75,440.13,39.12
95,439.75,443.41,38.68
96,441.96,440.78,39.27
97,441.98,440.56,39.31
98,442,444.5,38.82
99,442.02,434.66,40.07
100,442.03,438.38,39.69
101,437.64,441.88,38.71
102,439.83,446.47,38.34
103,442.03,442.97,38.99
104,442.05,446.03,38.59
105,442.07,444.5,38.74
106,444.3,448.22,38.51
107,442.13,447.78,38.23
108,442.15,446.03,38.39
109,437.76,441,38.42
110,437.74,439.91,38.52
111,442.74,441.22,38.97
112,444.38,441.88,39.12
113,442.21,441.22,38.96
114,440.02,439.47,38.91
115,442.23,440.13,39.12
116,442.25,446.47,38.33
117,437.86,445.59,37.81
118,442.25,442.97,38.63
119,437.86,442.31,38.13
120,440.04,436.41,39.13
121,444.46,439.03,39.41
122,439.46,446.47,37.86
123,437.86,447.78,37.39
124,442.25,438.59,39.03
125,442.27,431.16,40.04
126,437.27,435.09,39.03
127,437.84,440.78,38.39
128,437.82,445.81,37.69
129,435.59,446.91,37.15
130,437.76,448.44,37.09
131,437.74,443.84,37.55
132,437.72,442.09,37.69
133,435.49,441.66,37.4
134,437.66,437.5,38.15
135,437.64,438.59,38
136,435.41,442.53,37.19
137,435.37,444.94,36.78
138,437.54,447.13,36.65
139,437.52,445.81,36.69
140,441.92,439.69,37.96
141,441.94,434.66,38.64
142,437.54,427,39.16
143,441.94,429.41,39.56
144,441.96,426.56,40.09
145,441.98,429.41,39.93
146,444.2,422.84,41.23
147,442.03,422.84,41.23
148,442.05,428.53,40.74
149,439.87,431.81,40.21
150,442.07,435.31,40.14
151,439.89,436.41,39.8
152,442.09,436.84,40.08
153,437.7,432.03,40.2
154,439.89,433.56,40.36
155,444.3,440.56,40.11
156,442.13,439.25,40.04
157,442.15,443.41,39.54
158,442.17,446.25,39.16
159,442.19,444.28,39.36
160,442.21,447.78,38.88
161,440.02,436.19,40.04
162,442.23,443.41,39.43
163,442.25,446.91,38.96
164,442.27,449.53,38.57
165,442.29,448.22,38.64
166,444.52,443.41,39.48
167,442.35,442.53,39.33
168,442.37,442.97,39.27
169,442.39,446.47,38.81
170,440.2,449.97,38.02
171,440.2,450.19,37.86
172,437.99,452.81,37.1
173,437.97,453.47,36.82
174,440.16,454.13,36.82
175,437.95,461.56,35.38
176,435.73,450.19,36.27
177,433.48,442.31,36.81
178,433.42,419.78,39.62
179,437.78,428.09,39.28
180,437.76,433.34,38.72
181,433.32,437.28,37.69
182,433.27,437.06,37.66
183,437.62,436.19,38.29
184,442.02,434.22,39.14
185,442.03,437.28,38.84
186,439.85,439.47,38.34
187,442.05,439.25,38.66
188,442.07,439.25,38.7
189,444.3,438.38,39.14
190,442.13,441.66,38.51
191,439.95,433.34,39.31
192,442.15,430.28,40.08
193,444.38,436.63,39.7
194,446.62,435.75,40.21
195,442.27,435.75,39.78
196,442.29,434.66,40.01
197,437.89,433.78,39.65
198,437.87,439.47,38.96
199,435.65,442.53,38.25
200,440.65,445.59,38.42
201,437.84,445.81,37.96
202,437.82,444.06,38.08
203,437.8,431.81,39.59
204,439.98,435.97,39.41
205,439.98,437.06,39.32
206,439.98,442.31,38.68
207,437.78,443.19,38.24
208,442.17,444.28,38.6
209,442.19,439.91,39.15
210,440,448.22,37.81
211,442.21,446.91,38.16
212,437.82,441.66,38.21
213,437.8,436.84,38.79
214,442.19,432.69,39.91
215,437.8,436.19,39.01
216,439.98,433.34,39.68
217,437.78,436.41,39.08
218,435.55,433.78,39.15
219,435.51,438.16,38.6
220,437.68,436.19,39.11
221,437.66,444.5,38.04
222,433.23,450.19,36.63
223,433.17,449.53,36.49
224,435.32,446.47,36.96
225,433.07,447.56,36.38
226,435.22,445.59,36.72
227,435.18,446.03,36.53
228,432.93,450.41,35.52
229,437.93,444.72,36.69
230,439.5,439.47,37.49
231,435.08,430.94,38.02
232,437.25,433.34,38.05
233,435.02,444.94,36.3
234,437.19,444.5,36.51
235,437.17,443.84,36.5
236,441.57,441.66,37.26
237,443.79,441.22,37.61
238,443.83,436.84,38.22
239,438.83,443.63,36.78
240,433.83,434.66,37.23
241,434.96,430.94,37.85
242,439.34,437.5,37.62
243,434.34,436.63,37.11
244,432.66,437.06,36.8
245,434.81,430.94,37.82
246,434.77,426.34,38.46
247,434.73,428.53,38.28
248,436.9,431.16,38.3
249,432.46,434.66,37.35
250,434.61,429.41,38.28
251,434.57,430.06,38.26
252,436.74,429.41,38.68
253,436.72,430.06,38.69
254,438.91,429.19,39.18
255,441.12,426.13,39.99
256,441.14,427.66,39.99
257,436.74,432.03,39.02
258,436.72,431.59,39.14
259,436.7,425.47,40
260,436.68,426.56,40
261,432.25,431.38,38.93
262,437.25,440.34,38.42
263,438.81,439.03,38.76
264,436.61,444.5,37.76
265,436.59,432.47,39.22
266,434.36,426.78,39.72
267,436.53,426.56,40.13
268,434.3,428.97,39.66
269,436.47,437.28,38.93
270,436.45,442.31,38.26
271,436.43,442.97,38.09
272,436.41,442.97,38.01
273,440.8,440.78,38.78
274,440.82,437.94,39.15
275,440.84,438.59,39.11
276,440.86,444.28,38.4
277,443.09,442.75,38.84
278,438.71,437.28,38.99
279,440.92,434.88,39.61
280,440.94,433.78,39.83
281,440.96,445.16,38.45
282,436.57,450.84,37.08
283,438.75,448.44,37.49
284,440.96,444.06,38.22
285,440.98,444.72,38.1
286,443.21,446.69,38.08
287,445.45,444.28,38.64
288,443.3,439.47,39.01
289,445.55,438.81,39.43
290,443.4,441.88,38.84
291,441.23,434.66,39.52
292,441.25,439.03,39.04
293,441.27,436.84,39.36
294,445.71,441.66,39.36
295,447.97,437.72,40.22
296,445.84,436.84,40.19
297,443.7,438.81,39.78
298,443.73,439.69,39.73
299,445.98,439.69,40.07
300,448.25,441,40.28
301,448.32,442.53,40.19
302,446.2,447.56,39.33
303,446.25,444.06,39.77
304,446.31,442.09,40.07
305,446.37,433.13,41.3
306,448.64,427.66,42.48
307,450.92,443.41,41
308,453.23,451.28,40.37
309,451.14,450.63,40.21
310,449.03,450.41,39.97
311,446.9,455.44,39.02
312,451.9,456.31,39.44
313,451.49,446.03,40.67
314,449.38,443.84,40.75
315,451.66,449.53,40.38
316,449.55,454.78,39.45
317,447.43,454.78,39.11
318,449.69,456.97,39.02
319,451.98,460.03,38.83
320,449.87,459.59,38.5
321,452.15,454.56,39.33
322,452.25,450.19,39.88
323,450.14,451.72,39.43
324,450.22,455.66,38.91
325,450.3,452.38,39.28
326,452.58,453.03,39.46
327,450.47,451.5,39.38
328,450.55,451.72,39.35
329,448.42,446.47,39.74
330,450.69,445.81,40.15
331,450.77,446.25,40.16
332,450.84,447.78,40.03
333,448.71,457.19,38.57
334,446.57,462,37.55
335,451.02,459.16,38.3
336,451.1,458.28,38.32
337,448.97,454.34,38.46
338,449.03,448,39.23
339,449.09,450.41,38.93
340,449.14,451.28,38.81
341,451.41,450.19,39.22
342,451.49,452.59,38.93
343,451.57,449.97,39.27
344,447.23,445.59,39.3
345,447.27,444.06,39.52
346,452.27,444.5,40.16
347,451.82,442.53,40.46
348,447.48,440.56,40.27
349,451.94,439.47,41.08
350,452.02,443.41,40.74
351,447.68,442.97,40.35
352,449.93,438.38,41.3
353,449.98,440.13,41.23
354,450.04,444.06,40.85
355,447.89,445.16,40.51
356,447.93,448.22,40.15
357,447.97,449.09,40.04
358,450.22,445.81,40.74
359,452.48,447.34,40.89
360,448.15,440.56,41.28
361,445.98,440.56,41.1
362,450.41,443.63,41.34
363,452.68,447.78,41.19
364,450.55,447.78,40.97
365,452.82,447.13,41.39
366,452.89,458.5,39.99
367,455.18,458.06,40.28
368,450.86,461.56,39.22
369,448.71,458.94,39.14
370,443.71,450.19,39.5
371,446.53,449.53,39.87
372,448.75,447.13,40.43
373,448.79,443.41,40.94
374,448.83,451.28,39.99
375,448.87,460.03,38.82
376,446.7,459.81,38.43
377,441.7,457.19,37.95
378,446.68,458.28,38.25
379,446.7,460.69,37.79
380,444.52,455.66,37.98
381,446.72,451.5,38.66
382,448.95,456.53,38.23
383,448.99,459.38,37.77
384,446.82,460.03,37.27
385,449.05,461.78,37.16
386,446.88,447.56,38.56
387,442.48,442.09,38.69
388,446.88,439.03,39.67
389,446.9,442.75,39.29
390,442.5,448.88,37.97
391,438.07,443.41,38.02
392,442.43,447.13,38.04
393,446.82,448,38.43
394,446.84,448.66,38.33
395,442.45,450.41,37.51
396,442.43,451.28,37.29
397,446.82,449.31,38
398,446.84,446.91,38.29
399,441.84,438.38,38.75
400,440.2,438.38,38.58
401,442.37,440.34,38.63
402,442.35,442.97,38.31
403,442.33,444.72,38.07
404,444.52,446.47,38.1
405,442.31,443.84,38.13
406,444.5,442.31,38.59
407,444.5,441.88,38.68
408,446.7,442.97,38.85
409,446.72,439.47,39.36
410,446.74,435.53,39.97
411,442.35,433.13,39.86
412,440.12,433.78,39.6
413,440.08,437.72,39.17
414,444.46,447.78,38.46
415,440.04,446.03,38.07
416,440,446.91,37.87
417,442.17,444.28,38.4
418,442.15,445.16,38.26
419,446.55,438.59,39.65
420,442.15,437.72,39.29
421,437.15,442.31,38.1
422,442.15,437.06,39.37
423,439.85,431.59,39.85
424,439.81,429.63,40.21
425,439.77,431.16,40.13
426,441.94,429.41,40.76
427,436.94,433.56,39.73
428,437.43,437.94,39.27
429,437.37,441.22,38.82
430,437.31,436.63,39.36
431,437.25,438.81,39.08
432,437.19,439.47,38.97
433,439.34,439.47,39.22
434,439.3,442.31,38.84
435,439.26,445.59,38.37
436,437.02,445.81,37.97
437,436.96,436.63,39.04
438,441.31,434,39.95
439,441.29,437.94,39.53
440,439.07,440.56,38.94
441,436.82,445.59,37.98
442,438.97,445.59,38.14
443,441.14,444.94,38.43
444,438.91,442.97,38.34
445,436.66,444.06,37.85
446,438.81,442.75,38.21
447,438.77,436.41,38.98
448,443.15,433.78,39.92
449,443.15,436.19,39.73
450,438.73,434.66,39.44
451,438.7,442.53,38.47
452,440.86,443.41,38.59
453,443.05,452.16,37.7
454,440.84,454.13,37.04
455,443.03,447.34,38.03
456,438.03,442.97,37.89
457,438.56,460.91,35.56
458,436.31,492.41,30.88
459,438.46,471.63,33.13
460,440.63,455.44,35.09
461,438.4,444.28,36.06
462,440.57,434.44,37.55
463,442.76,423.94,39.28
464,440.55,414.31,40.49
465,442.74,410.16,41.66
466,444.95,411.25,42.23
467,439.95,417.59,41.19
468,444.95,419.34,41.9
469,449.38,423.06,42.33
470,449.44,431.38,41.6
471,449.5,443.41,40.27
472,449.55,451.06,39.36
473,447.41,457.41,38.24
474,442.41,456.53,37.57
475,445.22,450.19,38.58
476,445.24,451.28,38.37
477,445.26,450.63,38.38
478,445.28,453.25,37.98
479,445.3,445.16,38.93
480,440.9,440.13,39.01
481,440.88,444.28,38.48
482,443.07,444.28,38.72
483,445.28,451.28,38.08
484,445.3,446.91,38.57
485,443.11,448.22,38.1
486,443.11,447.78,38.09
487,445.32,449.97,38.03
488,445.34,450.19,37.94
489,447.56,450.41,38.14
490,447.6,450.84,38.05
491,442.6,450.19,37.44
492,445.41,443.63,38.57
493,445.43,437.94,39.33
494,445.45,440.34,39.12
495,445.47,440.78,39.13
496,441.08,433.78,39.53
497,445.47,430.5,40.63
498,447.7,432.03,40.91
499,445.53,438.16,40.03
500,443.34,439.25,39.7
501,445.55,442.75,39.59
502,447.78,440.78,40.17
503,447.82,440.34,40.32
504,450.06,443.84,40.26
505,450.12,445.16,40.18
506,445.77,440.78,40.24
507,447.99,441.88,40.46
508,450.24,441.66,40.86
509,448.09,435.09,41.54
510,452.54,435.31,42.26
511,448.21,440.34,41.27
512,448.25,458.28,39.04
513,452.7,457.84,39.55
514,450.57,460.03,38.92
515,450.63,460.91,38.69
516,448.48,455.22,39.02
517,450.73,452.16,39.62
518,448.58,451.28,39.43
519,450.82,458.28,38.78
520,446.47,459.38,37.97
521,446.49,453.91,38.52
522,448.71,450.63,39.14
523,450.96,452.38,39.18
524,446.61,451.94,38.65
525,444.42,449.75,38.58
526,442.21,448.88,38.34
527,444.4,440.78,39.59
528,448.81,446.25,39.5
529,446.64,448.66,38.94
530,446.66,458.94,37.58
531,451.1,455,38.51
532,446.1,454.13,37.92
533,448.95,450.19,38.7
534,446.78,450.63,38.34
535,446.8,444.28,39.12
536,446.82,444.28,39.16
537,449.05,440.78,39.93
538,449.09,440.78,40.05
539,444.09,442.31,39.31
540,440.24,446.03,38.34
541,442.41,446.03,38.55
542,446.8,439.47,39.93
543,446.82,455.44,37.95
544,446.84,460.69,37.16
545,449.07,452.81,38.29
546,449.11,446.47,39.07
547,446.94,446.69,38.8
548,446.96,449.75,38.4
549,446.98,451.28,38.17
550,451.98,454.34,38.37
551,449.28,456.09,37.76
552,444.28,451.28,37.64
553,449.28,453.91,37.86
554,449.32,442.97,39.23
555,449.36,438.81,39.86
556,451.61,455.44,38.12
557,451.66,459.59,37.54
558,451.72,452.81,38.33
559,449.57,452.81,38.03
560,449.61,455.44,37.66
561,447.45,448.88,38.15
562,449.67,439.91,39.59
563,451.92,439.91,40.01
564,449.77,439.91,39.89
565,447.6,438.81,39.88
566,447.62,438.59,40.02
567,452.05,441,40.4
568,449.91,446.03,39.61
569,449.94,445.59,39.72
570,454.4,443.84,40.59
571,452.27,444.72,40.33
572,450.12,438.59,40.95
573,450.16,448.44,39.82
574,454.61,456.31,39.4
575,452.48,456.75,39.05
576,450.34,453.91,39.08
577,448.17,449.31,39.35
578,452.6,445.81,40.37
579,452.66,438.16,41.46
580,450.51,425.03,43.08
581,450.55,431.16,42.62
582,448.38,438.59,41.62
583,443.99,444.94,40.35
584,443.97,448.44,39.88
585,443.95,451.94,39.36
586,448.34,461.56,38.58
587,448.36,463.97,38.09
588,448.38,456.31,38.89
589,443.99,455.88,38.27
590,443.97,460.47,37.52
591,443.95,458.72,37.53
592,443.93,458.28,37.39
593,439.5,471.41,34.92
594,441.64,473.59,34.5
595,437.19,406,42.3
596,442.19,404.25,43.58
597,441.51,421.53,41.74
598,443.68,435.09,40.52
599,443.66,440.78,39.89
600,448.05,449.97,39.3
601,448.07,444.06,40.05
602,443.07,445.81,39.22
603,439.22,443.41,39
604,441.37,449.97,38.37
605,439.12,454.13,37.42
606,439.07,452.16,37.47
607,439.01,452.38,37.27
608,438.95,452.16,37.12
609,438.89,453.03,36.82
610,438.83,452.59,36.69
611,438.77,450.19,36.81
612,440.92,449.09,37.09
613,440.88,439.91,38.17
614,438.64,426.78,39.6
615,440.78,428.09,39.86
616,438.54,434.22,38.94
617,436.27,446.25,37.13
618,438.4,435.75,38.65
619,438.34,433.13,39.02
620,440.49,441.66,38.25
621,442.66,448.22,37.67
622,442.64,440.78,38.56
623,438.21,431.16,39.26
624,438.15,429.63,39.54
625,440.3,435.53,39.16
626,440.26,436.84,39.05
627,440.22,440.13,38.66
628,437.97,433.78,39.2
629,437.91,433.34,39.3
630,442.27,437.94,39.33
631,442.25,437.28,39.47
632,442.23,437.28,39.53
633,442.21,442.75,38.88
634,439.98,441.22,38.78
635,442.15,440.78,39.11
636,442.13,442.75,38.87
637,444.32,454.78,37.58
638,446.53,451.28,38.18
639,446.55,443.84,39.09
640,442.15,444.28,38.5
641,442.13,445.16,38.35
642,446.53,446.47,38.72
643,441.53,447.13,37.98
644,439.89,445.59,37.89
645,442.05,445.16,38.16
646,444.24,442.75,38.72
647,444.24,452.81,37.43
648,442.04,447.56,37.71
649,442.02,442.09,38.35
650,446.41,440.13,39.17
651,446.43,437.06,39.66
652,446.45,432.03,40.44
653,441.45,420.88,41.43
654,437.58,428.97,40.14
655,439.73,434.66,39.79
656,444.11,435.09,40.37
657,446.31,439.47,40.2
658,444.12,440.13,39.92
659,439.71,446.03,38.63
660,444.09,445.59,39.17
661,444.09,443.41,39.44
662,444.09,432.47,40.87
663,444.09,435.97,40.57
664,444.09,437.5,40.47
665,444.09,445.38,39.53
666,444.09,440.78,40.12
667,446.29,440.78,40.45
668,441.9,442.31,39.75
669,439.67,336.22,53.26
670,444.05,361.38,51.9
671,444.05,402.5,47.62
672,441.84,433.78,43.81
673,441.82,467.91,39.47
674,441.8,489.78,36.28
675,446.2,504.44,34.32
676,441.8,501.59,33.36
677,437.37,499.41,32.29
678,442.37,491.53,33.16
679,441.72,488.47,32.83
680,439.5,474.69,33.73
681,435.04,463.75,34.11
682,439.38,454.78,35.47
683,439.34,444.28,36.63
684,444.34,431.38,38.9
